# Метеостанция Симферополь (метеостанция), Россия, WMO_ID=33955, выборка с 09.01.2014 по 06.06.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=33955&lang=ru
#
"Местное время в Симферополе (метеостанция)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.06.2019 21:00";"23.0";"737.0";"";"";"79";"Ветер, дующий с северо-востока";"1";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 18:00";"26.1";"736.3";"760.0";"";"70";"Ветер, дующий с северо-востока";"2";"";"";"70 – 80%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"20.1";"Осадков нет";"12";"";"";"";"";
"06.06.2019 15:00";"28.8";"736.3";"759.8";"";"47";"Ветер, дующий с севера";"2";"";"";"90  или более, но не 100%";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"90  или более, но не 100%";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"16.3";"";"";"";"";"";"";
"06.06.2019 12:00";"27.0";"737.0";"";"";"57";"Ветер, дующий с северо-востока";"3";"";"";"";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 09:00";"25.0";"737.0";"";"";"69";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 06:00";"19.2";"736.3";"760.6";"";"95";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"19.1";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"40%.";"600-1000";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"18.3";"Следы осадков";"12";"";"";"";"";
"06.06.2019 03:00";"20.0";"736.0";"";"";"89";"Ветер, дующий с северо-востока";"3";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"06.06.2019 00:00";"20.0";"737.0";"";"";"86";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.06.2019 21:00";"22.0";"736.0";"";"";"79";"Ветер, дующий с северо-запада";"2";"";"";"";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"05.06.2019 18:00";"24.3";"735.9";"759.7";"";"75";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";"Слабый дождь в срок наблюдения. Гроза в течение последнего часа, но не в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"19.5";"Следы осадков";"12";"";"";"";"";
"05.06.2019 15:00";"28.3";"734.9";"758.4";"";"55";"Ветер, дующий с востока";"4";"";"";"70 – 80%.";"Гроза, но без осадков, в срок наблюдения. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"18.5";"";"";"";"";"";"";
